id,x,y,z,r
18032,-33440,-70193,107.8,2.7
18033,-32207,-68731,151.1,3.1
18034,-32393,-71276,66.6,2.6
18035,-33760,-71920,9.6,3.0
18036,-33662,-71805,10.7,2.9
18037,-28496,-71388,47.0,3.9
18038,-31756,-69917,133.3,2.6
18039,-23976,-66993,240.0,4.5
18040,-32670,-71826,36.7,   
18041,-32671,-71756,36.3,4.3
18042,-32696,-71734,15.1,3.1
18043,-32717,-71755,25.0,3.2
18044,-32686,-71803,15.0,3.4
18045,-32578,-71516,47.1,3.5
18046,-31423,-71512,69.0,3.6
18047,-24484,-67469,190.0,   
18048,-31845,-70690,106.5,   
18049,-32112,-68805,154.1,3.7
18050,-33786,-70117,7.6,2.5
18051,-32469,-71363,53.0,4.4
18052,-31255,-69115,152.1,4.0
18053,-27970,-69043,100.0,   
18054,-33746,-70716,88.3,2.6
18055,-31273,-69137,154.5,3.8
18056,-34705,-72431,15.1,3.8
18057,-33129,-71190,63.0,2.7
18058,-31786,-69769,141.8,3.1
18059,-30504,-71155,55.6,3.8
18060,-33019,-70369,101.2,2.9
18061,-36290,-72365,64.7,3.6
18062,-33420,-70321,95.8,2.6
18063,-22926,-67746,175.0,   
18064,-32722,-71740,40.8,3.2
18065,-31204,-68835,150.0,3.3
18066,-35370,-70872,103.1,3.1
18067,-34953,-70743,123.5,3.5
18068,-22367,-68508,150.0,   
18069,-35125,-70229,167.3,3.0
18070,-31719,-70048,130.1,3.1
18071,-31018,-69545,173.2,3.8
18072,-30707,-71675,27.0,3.6
18073,-31358,-69513,145.3,3.6
18074,-32442,-68529,115.0,3.0
18075,-33571,-70964,78.5,3.8
18076,-34941,-70128,146.5,2.7
18077,-33343,-72841,33.3,3.1
18078,-29321,-69634,125.9,3.9
18079,-24538,-70348,58.8,3.4
18080,-34443,-71371,77.8,2.6
18081,-31981,-71608,32.0,3.3
18082,-29942,-71705,52.6,3.5
18083,-32660,-71795,15.0,3.8
18084,-33162,-70273,2.7,3.0
18085,-31652,-70312,130.8,3.6
18086,-31160,-68805,150.0,3.9
18087,-26110,-70482,53.2,3.8
18088,-27372,-71105,47.0,4.1
18089,-31082,-68715,150.0,   
18090,-33854,-70442,20.0,2.7
18091,-24052,-69055,100.0,3.6
18092,-32638,-71602,45.4,3.5
18093,-34885,-74090,50.0,3.7
18094,-29767,-71261,42.4,4.1
18095,-24123,-68960,110.0,3.9
18096,-34507,-70154,13.2,3.3
18097,-32145,-71875,21.6,3.8
18098,-32102,-71816,37.4,3.2
18099,-30548,-71239,32.7,   
18100,-30213,-71504,4.2,3.7
18101,-31491,-71366,47.1,3.1
18102,-31835,-70082,147.6,3.7
18103,-33080,-70645,88.0,2.7
18104,-24119,-67306,200.0,   
18105,-31144,-68647,150.0,   
18106,-31828,-69692,128.3,   
18107,-25949,-69120,120.0,   
18108,-27884,-69511,90.9,   
18109,-32192,-70505,117.7,   
18110,-22480,-68755,97.8,   
18111,-33605,-70650,11.3,3.2
18112,-23385,-68481,120.0,   
18113,-24202,-67208,180.0,   
18114,-32833,-71029,59.5,2.9
18115,-32715,-71675,6.6,3.2
18116,-23021,-66292,254.7,   
18117,-22703,-68557,107.8,3.4
18118,-34111,-72350,44.9,3.4
18119,-27966,-70373,69.4,   
18120,-30219,-70814,80.5,3.7
18121,-24734,-69006,79.4,   
18122,-33985,-71377,44.7,2.7
18123,-23876,-67019,200.0,   
18124,-23115,-70072,44.8,   
18125,-37643,-73341,28.5,4.2
18126,-22736,-69818,39.3,3.9
18127,-24064,-67072,200.0,   
18128,-23577,-68741,100.0,   
18129,-32259,-70642,81.9,2.5
18130,-34083,-70333,2.2,3.0
18131,-34934,-70177,17.8,3.5
18132,-31732,-70452,110.2,3.3
18133,-24891,-70201,34.6,4.0
18134,-36868,-71667,6.4,   
18135,-31428,-69604,149.2,3.7
18136,-22297,-68465,123.2,   
18137,-32757,-70893,67.4,2.6
18138,-35725,-71617,111.9,3.5
18139,-33154,-70191,10.8,3.1
18140,-31744,-69577,136.2,   
18141,-33150,-70255,4.2,3.3
18142,-32007,-71672,59.5,3.3
18143,-26462,-70690,37.6,   
18144,-32685,-71523,15.0,3.2
18145,-24327,-70049,58.1,   
18146,-33634,-70090,5.7,3.0
18147,-35051,-70474,17.2,3.5
18148,-28309,-67912,140.0,   
18149,-34364,-70105,17.0,3.2
18150,-21984,-68512,138.3,   
18151,-31276,-68756,150.0,3.5
18152,-34246,-71046,68.3,2.6
18153,-31880,-70495,103.2,2.8
18154,-31533,-68844,150.0,3.3
18155,-31367,-69056,150.0,   
18156,-23602,-68186,86.2,   
18157,-22828,-66728,255.9,2.9
18158,-33865,-69962,3.4,3.3
18159,-31772,-69594,118.2,2.7
18160,-20792,-70772,35.0,   
18161,-22244,-68670,119.0,3.2
18162,-33205,-70119,101.9,2.7
18163,-34106,-72374,26.5,3.6
18164,-21739,-68459,140.3,   
18165,-31561,-72087,33.3,4.0
18166,-31810,-71560,62.3,3.2
18167,-23437,-69272,43.5,3.9
18168,-30704,-69230,150.0,3.9
18169,-30933,-69693,5.0,3.3
18170,-24115,-67003,153.9,2.9
18171,-34320,-72169,36.9,3.3
18172,-34677,-70314,4.3,3.1
18173,-31857,-69424,150.4,3.3
18174,-32182,-71475,65.8,3.3
18175,-24163,-67365,210.0,   
18176,-24160,-67313,220.0,   
18177,-27222,-69307,111.5,   
18178,-31110,-68299,145.0,   
18179,-34292,-70160,1.1,3.3
18180,-29263,-71150,80.0,   
18181,-22255,-68337,136.5,   
18182,-35252,-70978,112.2,3.4
18183,-32545,-71681,14.2,3.5
18184,-35065,-70477,16.9,3.7
18185,-31745,-71829,35.0,4.3
18186,-27959,-71000,55.0,   
18187,-33135,-70249,3.6,3.6
18188,-24066,-66999,196.0,   
18189,-35545,-71578,100.9,3.7
18190,-23903,-67262,220.0,   
18191,-34402,-70474,118.8,3.3
18192,-24333,-67614,180.0,   
18193,-31259,-71741,10.5,3.8
18194,-31288,-70908,87.6,3.1
18195,-34596,-71638,50.1,3.7
18196,-23974,-67142,210.0,   
18197,-33821,-69762,140.6,3.0
18198,-31998,-70016,114.3,   
18199,-30820,-71968,46.0,   
18200,-31337,-69236,155.5,3.3
18201,-31729,-71216,40.1,3.4
18202,-27519,-69172,108.3,   
18203,-33137,-70843,70.3,2.7
18204,-31586,-69694,142.0,   
18205,-23331,-68949,69.1,   
18206,-31999,-71180,6.9,3.5
18207,-30982,-70672,9.1,   
18208,-31937,-70087,121.2,2.9
18209,-35105,-70529,17.1,3.6
18210,-31324,-71833,24.9,4.1
18211,-21904,-68536,148.0,   
18212,-41342,-87592,10.0,   
18213,-34018,-70572,83.5,2.5
18214,-33126,-70258,10.9,3.7
18215,-32448,-71485,41.9,3.9
18216,-21875,-66760,233.6,   
18217,-33884,-72582,36.2,3.5
18218,-22090,-67254,195.8,   
18219,-31601,-69682,141.5,3.1
18220,-27708,-70201,86.1,   
18221,-32129,-71730,32.7,3.4
18222,-31066,-71643,60.2,3.0
18223,-34053,-71000,73.4,2.8
18224,-28805,-71559,23.9,   
18225,-24066,-67126,210.0,   
18226,-33578,-70625,82.5,2.6
18227,-24953,-70216,44.2,   
18228,-31003,-71749,42.4,   
18229,-31005,-71929,19.0,3.9
18230,-32686,-72019,39.3,3.5
18231,-32462,-71825,12.7,3.5
18232,-31513,-70622,21.8,3.6
18233,-29564,-72279,14.1,   
18234,-27986,-71213,47.2,3.9
18235,-29649,-72074,35.6,3.7
18236,-29601,-72224,30.1,4.2
18237,-31984,-71622,30.8,3.1
18238,-31040,-71909,16.6,3.3
18239,-31694,-70254,146.7,2.8
18240,-29684,-72072,25.0,3.9
18241,-31027,-71237,63.7,3.3
18242,-34341,-70283,8.1,2.5
18243,-26936,-71161,36.4,3.8
18244,-29680,-72035,40.0,   
18245,-33926,-70066,11.9,2.6
18246,-34274,-72336,31.9,3.4
18247,-34291,-72326,4.2,3.3
18248,-22606,-69746,102.2,   
18249,-31033,-71849,6.9,4.1
18250,-23713,-67143,176.6,   
18251,-26263,-70740,47.0,4.1
18252,-35728,-71242,109.2,3.6
18253,-24329,-67356,170.0,   
18254,-32444,-70510,94.7,2.7
18255,-33176,-69002,25.3,3.7
18256,-24322,-71694,37.4,3.9
18257,-32164,-71728,10.8,3.3
18258,-23168,-69068,89.3,   
18259,-31183,-68247,150.0,3.9
18260,-28900,-71138,47.0,4.0
18261,-32756,-70856,71.8,3.3
18262,-34369,-70471,103.4,4.1
18263,-31013,-71297,61.7,3.6
18264,-27063,-71200,13.4,3.9
18265,-31076,-69870,122.6,3.1
18266,-22069,-68466,140.6,3.9
18267,-27915,-71172,21.7,   
18268,-32032,-69937,117.9,3.2
18269,-33148,-70223,2.5,3.6
18270,-35228,-71190,103.9,3.0
18271,-33852,-70112,7.1,2.8
18272,-23932,-67038,210.0,   
18273,-32581,-72842,25.9,3.4
18274,-31650,-71684,32.9,4.1
18275,-27848,-68815,125.4,3.4
18276,-22321,-68758,111.5,4.3
18277,-33023,-71122,58.3,3.4
18278,-29618,-71890,43.9,4.3
18279,-34248,-70971,81.8,3.8
18280,-17559,-70471,104.0,   
18281,-27073,-71225,13.9,   
18282,-27096,-71197,21.3,   
18283,-27091,-71214,15.9,3.8
18284,-36239,-71272,128.3,   
18285,-27097,-71210,15.0,3.4
18286,-27098,-71223,15.0,3.7
18287,-27110,-71235,11.1,3.6
18288,-27125,-71190,12.6,   
18289,-27095,-71130,30.2,3.7
18290,-27097,-71101,31.5,   
18291,-27114,-71175,28.2,3.7
18292,-27097,-71212,13.4,3.8
18293,-27047,-71160,27.7,   
18294,-31775,-69682,144.5,3.1
18295,-27078,-71253,9.8,3.9
18296,-32712,-71627,51.6,4.3
18297,-24970,-70359,33.2,3.0
18298,-34947,-70489,0.0,3.2
18299,-27100,-71246,4.3,   
18300,-29548,-71109,54.5,3.6
18301,-34081,-68395,13.5,3.4
18302,-32131,-71722,32.5,3.5
18303,-31041,-71958,25.2,3.6
18304,-27465,-69247,102.8,2.9
18305,-33837,-70588,94.3,3.0
18306,-24371,-67385,200.0,   
18307,-27144,-71192,11.3,   
18308,-27859,-71164,48.0,   
18309,-28393,-71006,33.3,   
18310,-29478,-71994,42.6,   
18311,-27161,-71209,14.7,   
18312,-32736,-70037,110.1,3.8
18313,-33134,-70232,3.0,3.0
18314,-27086,-71176,28.0,3.8
18315,-34485,-70511,117.0,2.5
18316,-27100,-71215,15.0,   
18317,-32065,-71233,65.9,2.6
18318,-27258,-71169,15.0,   
18319,-32191,-69896,115.0,2.5
18320,-27943,-66861,180.0,   
18321,-32474,-71872,24.6,3.5
18322,-24287,-67256,220.0,   
18323,-33145,-70230,1.7,3.2
18324,-27196,-71031,25.9,4.3
18325,-34988,-70633,124.2,3.3
18326,-39601,-71878,70.0,   
18327,-32654,-71700,26.1,3.5
18328,-32629,-71746,15.0,3.0
18329,-24373,-67397,150.0,   
18330,-27064,-71316,9.5,   
18331,-31855,-68572,150.0,3.7
18332,-27050,-71368,15.6,   
18333,-27157,-71169,22.3,   
18334,-25261,-72020,34.6,3.6
18335,-27022,-71318,31.1,3.6
18336,-30174,-71452,66.0,3.7
18337,-28433,-71066,58.7,3.1
18338,-32407,-71118,64.7,3.7
18339,-24179,-67177,220.0,4.0
18340,-34613,-70280,16.2,3.7
18341,-27146,-71365,3.9,4.6
18342,-27205,-71126,25.2,4.0
18343,-27151,-71088,37.5,4.6
18344,-33285,-71199,59.9,2.6
18345,-27187,-71228,14.7,3.8
18346,-32918,-71715,38.0,3.4
18347,-32413,-71124,62.1,3.7
18348,-28297,-71323,15.0,3.3
18349,-32684,-70902,67.8,2.9
18350,-27199,-70672,32.8,3.7
18351,-27143,-71008,35.8,4.2
18352,-27067,-71135,25.0,3.9
18353,-33490,-70101,100.1,2.9
18354,-27159,-70875,38.0,4.4
18355,-33142,-70252,1.5,3.6
18356,-27178,-70675,33.2,4.2
18357,-27546,-70647,44.0,   
18358,-26251,-71033,42.1,   
18359,-31043,-71320,61.8,3.6
18360,-33571,-70475,93.4,3.3
18361,-33378,-72447,25.7,3.8
18362,-31295,-69439,147.9,3.7
18363,-34437,-70858,95.1,2.5
18364,-32786,-69216,9.1,   
18365,-32732,-69222,11.8,4.3
18366,-27134,-71060,35.4,3.9
18367,-27179,-70597,26.5,3.9
18368,-26254,-71001,43.3,3.8
18369,-34883,-71227,90.3,2.8
18370,-27054,-70985,29.2,4.0
18371,-31680,-69770,129.4,3.1
18372,-27016,-71236,2.7,3.5
18373,-24675,-69983,75.6,   
18374,-27121,-71284,15.0,3.2
18375,-34208,-71829,38.8,3.2
18376,-23000,-67895,200.0,   
18377,-34859,-71176,97.0,3.4
18378,-27208,-71568,39.4,3.9
18379,-27215,-71455,21.4,3.1
18380,-33145,-70244,3.3,3.1
18381,-27239,-71351,20.8,3.5
18382,-27241,-71343,13.6,3.2
18383,-27619,-71560,0.0,3.5
18384,-35439,-71167,129.7,2.5
18385,-27033,-71231,39.9,4.1
18386,-27248,-71332,10.0,3.6
18387,-31190,-69459,1.1,3.5
18388,-27161,-71445,4.8,3.9
18389,-27278,-71326,17.7,3.9
18390,-27269,-71289,19.9,3.7
18391,-27125,-71348,30.7,4.1
18392,-32486,-71068,63.5,2.5
18393,-27217,-71362,21.7,3.9
18394,-32549,-72467,41.7,3.7
18395,-31862,-71306,43.5,4.2
18396,-27133,-71216,38.4,   
18397,-29451,-71911,17.0,3.6
18398,-27166,-71281,45.5,3.7
18399,-27042,-71470,39.6,4.0
18400,-29918,-71253,23.2,3.7
18401,-33956,-72622,36.1,3.3
18402,-27196,-71313,41.8,3.1
18403,-27092,-71258,21.5,   
18404,-26925,-71162,34.4,4.0
18405,-27092,-71212,11.9,3.6
18406,-27099,-71271,8.7,   
18407,-35542,-71321,94.0,4.2
18408,-31414,-69357,2.8,3.3
18409,-27217,-71330,3.9,3.4
18410,-34973,-70972,99.7,2.8
18411,-27111,-71283,3.8,3.4
18412,-27267,-71315,6.2,3.8
18413,-27097,-71399,5.7,   
18414,-27124,-71158,31.3,   
18415,-27079,-71305,7.1,   
18416,-27111,-71412,26.6,   
18417,-27277,-71235,19.8,   
18418,-27067,-71138,48.4,   
18419,-27125,-71204,27.2,   
18420,-27175,-71160,12.9,   
18421,-27148,-71101,29.1,   
18422,-27184,-71258,30.5,   
18423,-27264,-71168,12.9,3.5
18424,-27028,-71251,5.0,   
18425,-27170,-71173,16.0,3.0
18426,-27082,-71110,33.6,   
18427,-27223,-71217,35.0,   
18428,-26839,-71149,18.0,   
18429,-27361,-71290,10.8,   
18430,-27301,-71124,37.2,   
18431,-27073,-71289,0.1,   
18432,-27106,-71213,11.2,3.7
18433,-27092,-71184,30.4,   
18434,-27227,-71196,37.3,   
18435,-27314,-71122,13.9,   
18436,-26967,-71213,43.1,   
18437,-27288,-71220,34.6,3.5
18438,-27067,-71276,38.5,   
18439,-27290,-71253,45.4,   
18440,-27176,-71203,43.5,   
18441,-27281,-71209,15.5,   
18442,-27150,-71296,37.8,   
18443,-32418,-71523,53.9,3.4
18444,-27114,-71210,34.4,   
18445,-27066,-71288,40.8,   
18446,-27061,-71140,38.7,   
18447,-27094,-71465,24.1,   
18448,-27256,-71178,16.0,   
18449,-27319,-71242,20.2,   
18450,-30801,-68381,3.7,4.1
18451,-27037,-71092,46.7,   
18452,-27489,-71262,11.6,   
18453,-27246,-71261,43.4,   
18454,-27232,-71358,45.0,   
18455,-27159,-71043,33.3,   
18456,-26899,-71307,35.0,   
18457,-26926,-71129,38.5,   
18458,-27178,-71290,37.9,   
18459,-27278,-71252,15.0,3.8
18460,-27374,-71284,7.6,   
18461,-27323,-71586,32.6,   
18462,-27223,-71334,46.6,   
18463,-27334,-71338,6.0,   
18464,-26981,-71267,42.0,   
18465,-27346,-71352,44.1,   
18466,-27248,-71303,8.3,   
18467,-27355,-71200,3.0,   
18468,-27221,-71310,30.8,   
18469,-27277,-71264,8.1,   
18470,-27369,-71507,39.7,   
18471,-27302,-71232,25.4,   
18472,-27318,-71160,29.6,   
18473,-33498,-70569,88.5,2.8
18474,-27334,-71111,25.8,   
18475,-27217,-71338,40.6,   
18476,-27253,-71339,15.0,   
18477,-27130,-71379,37.9,   
18478,-27446,-71321,25.5,   
18479,-27224,-71229,15.1,   
18480,-27173,-71249,10.8,   
18481,-27234,-71441,32.3,   
18482,-27352,-71173,35.0,   
18483,-26877,-70955,32.8,   
18484,-27085,-71264,41.9,   
18485,-27204,-71218,45.0,   
18486,-27151,-71355,44.2,   
18487,-31595,-69897,121.5,   
18488,-27169,-71278,40.5,   
18489,-27310,-71233,14.8,   
18490,-27287,-71303,21.9,   
18491,-27614,-71427,27.2,   
18492,-32525,-71725,15.2,3.6
18493,-27139,-70968,55.4,   
18494,-27286,-71245,47.0,   
18495,-27207,-71166,44.1,   
18496,-27418,-71318,2.3,   
18497,-27268,-71254,9.4,   
18498,-27441,-71350,20.0,   
18499,-27317,-71253,13.7,   
18500,-27307,-71254,5.5,   
18501,-27295,-70659,23.7,   
18502,-31473,-71364,74.7,3.2
18503,-27257,-71276,9.9,   
18504,-27087,-71258,15.0,   
18505,-27436,-71458,40.2,   
18506,-27302,-71262,2.4,   
18507,-27305,-71273,24.6,4.0
18508,-26889,-71013,30.8,   
18509,-27395,-71576,46.2,   
18510,-34085,-70331,6.2,3.2
18511,-29634,-72073,32.0,4.1
18512,-27437,-71376,46.3,   
18513,-27270,-71531,15.0,3.7
18514,-27438,-71209,8.0,   
18515,-27081,-71087,29.3,3.4
18516,-27085,-71069,32.7,   
18517,-27079,-71094,32.7,   
18518,-27506,-71083,21.8,   
18519,-27288,-71309,5.3,   
18520,-27497,-71666,11.0,   
18521,-27442,-71683,31.8,   
18522,-27529,-71573,29.4,   
18523,-27415,-71452,44.2,   
18524,-34424,-70083,16.3,4.0
18525,-27273,-71443,18.4,   
18526,-27375,-71411,47.9,   
18527,-27279,-71392,14.3,   
18528,-32195,-71638,24.8,   
18529,-27260,-71188,18.9,   
18530,-27453,-71426,13.1,   
18531,-27066,-71264,9.7,   
18532,-27083,-71270,9.5,   
18533,-27576,-71562,18.8,   
18534,-27529,-71664,15.1,   
18535,-27313,-71286,14.9,   
18536,-27276,-71421,20.4,4.0
18537,-27307,-71247,21.2,4.0
18538,-32214,-66445,20.0,   
18539,-33481,-70623,89.4,3.8
18540,-27199,-71232,16.6,4.0
18541,-34420,-70117,2.5,3.9
18542,-27498,-71146,41.2,4.1
18543,-32028,-69639,149.4,3.4
18544,-26924,-70808,34.2,3.8
18545,-34396,-70059,2.8,3.6
18546,-26512,-70889,35.0,3.8
18547,-29876,-71599,25.0,   
18548,-27248,-71283,10.4,   
18549,-27209,-71245,14.6,   
18550,-27227,-71170,19.2,4.3
18551,-31700,-70090,144.5,   
18552,-32698,-71778,9.6,3.5
18553,-33595,-70904,69.5,3.0
18554,-33528,-68464,0.0,3.6
18555,-27225,-71203,19.4,4.0
18556,-26989,-71202,9.4,4.4
18557,-27087,-71317,15.1,   
18558,-34572,-72247,26.0,3.6
18559,-27095,-71120,25.8,4.0
18560,-30905,-71717,54.3,3.8
18561,-27561,-71631,29.1,   
18562,-31825,-70162,116.6,3.4
18563,-27286,-71133,33.6,3.7
18564,-27077,-71317,26.3,   
18565,-27185,-71162,10.0,3.7
18566,-27025,-71250,7.9,4.0
18567,-34550,-70288,14.3,3.7
18568,-32566,-71541,46.9,   
18569,-26785,-71034,30.9,3.9
18570,-33619,-70105,7.2,3.6
18571,-32805,-71624,15.2,3.0
18572,-32115,-71676,34.0,3.6
18573,-34437,-70541,104.3,2.5
18574,-27572,-71476,13.3,4.1
18575,-27096,-71186,25.0,4.0
18576,-27264,-71174,35.0,4.3
18577,-27486,-71514,30.4,3.9
18578,-27075,-71223,28.1,4.0
18579,-27265,-71165,29.7,   
18580,-27291,-71199,1.8,   
18581,-31746,-68454,150.0,   
18582,-31781,-71750,53.8,3.5
18583,-31966,-68648,150.0,   
18584,-27252,-71252,46.3,   
18585,-27341,-71167,8.2,   
18586,-35016,-70534,20.0,3.1
18587,-34408,-70070,17.3,3.3
18588,-28280,-71217,48.6,4.2
18589,-34409,-70092,17.2,4.0
18590,-32624,-71538,14.8,3.6
18591,-25150,-70717,40.7,   
18592,-31374,-68861,150.0,   
18593,-34413,-70098,16.7,3.0
18594,-34425,-70134,18.7,3.5
18595,-33197,-70212,5.0,3.1
18596,-27157,-71199,19.6,3.5
18597,-24491,-69227,130.0,   
18598,-33138,-70255,3.4,3.2
18599,-34424,-70091,14.0,4.1
18600,-34412,-70096,13.5,3.9
18601,-34427,-70086,16.8,3.8
18602,-34410,-70057,2.0,3.0
18603,-34410,-70066,6.1,2.8
18604,-31987,-71386,42.3,3.5
18605,-34429,-70085,13.9,3.5
18606,-27252,-71639,15.0,   
18607,-34422,-70083,12.2,3.1
18608,-31839,-71572,54.0,3.6
18609,-27603,-71510,17.1,   
18610,-33994,-70023,11.6,2.9
18611,-27392,-71574,42.0,   
18612,-27504,-71486,6.4,   
18613,-27405,-71540,40.1,   
18614,-33143,-70840,71.8,2.5
18615,-34139,-70479,13.8,3.2
18616,-28281,-71261,15.0,3.8
18617,-27830,-71492,36.3,3.3
18618,-32083,-69840,126.3,2.8
18619,-35918,-71608,101.3,2.6
18620,-29900,-71338,45.2,3.8
18621,-27341,-70733,29.1,3.2
18622,-34665,-70418,114.8,2.7
18623,-32138,-70005,150.3,2.5
18624,-26791,-70917,34.8,3.5
18625,-34079,-70330,2.1,3.0
18626,-32620,-71719,9.1,3.5
18627,-32691,-71494,5.1,3.0
18628,-27108,-71446,30.4,3.7
18629,-29326,-70119,120.5,3.6
18630,-32263,-70334,107.5,3.5
18631,-34288,-70198,2.4,2.6
18632,-31022,-71486,45.9,3.9
18633,-29996,-71619,36.4,4.1
18634,-34362,-70088,3.5,3.5
18635,-31442,-69089,149.2,4.0
18636,-36036,-70771,163.4,3.3
18637,-27297,-71070,36.5,4.0
18638,-32374,-71474,46.4,3.7
18639,-32341,-70984,76.8,3.4
18640,-27178,-71209,18.3,3.6
18641,-27286,-71013,35.0,3.0
18642,-31528,-68969,150.0,   
18643,-34495,-70195,21.6,3.1
18644,-34675,-70169,19.8,2.9
18645,-34688,-70231,0.0,3.6
18646,-32894,-70299,103.6,3.6
18647,-34889,-71317,20.4,3.6
18648,-31272,-68729,150.0,   
18649,-32438,-69835,120.0,   
18650,-35039,-70528,18.9,3.2
18651,-27738,-69196,90.0,   
18652,-27307,-71249,17.8,   
18653,-30956,-71553,30.9,3.5
18654,-26907,-70982,32.4,3.8
18655,-30732,-71294,47.9,4.2
18656,-30638,-71695,51.0,3.9
18657,-24278,-71505,90.0,3.8
18658,-30905,-70461,94.1,3.1
18659,-36966,-71613,8.5,4.2
18660,-30486,-72842,36.8,   
18661,-27218,-71129,32.7,3.7
18662,-22009,-68349,137.8,3.6
18663,-34438,-72171,47.0,4.3
18664,-34683,-72201,13.4,3.7
18665,-22560,-67602,164.5,   
18666,-21278,-69119,135.0,3.9
18667,-23976,-67000,200.0,3.7
18668,-29041,-70519,81.6,3.7
18669,-29161,-70115,122.3,   
18670,-27264,-71227,61.8,3.7
18671,-22533,-68459,110.4,4.1
18672,-27311,-71068,27.5,3.8
18673,-26901,-70681,31.7,3.7
18674,-27329,-70773,27.7,3.5
18675,-27558,-71610,45.4,   
18676,-24350,-67207,131.5,   
18677,-30816,-71340,47.9,3.1
18678,-27576,-71574,18.0,   
18679,-27544,-71620,15.0,   
18680,-24367,-67238,149.2,3.3
18681,-27262,-71357,6.8,4.1
18682,-32943,-69228,6.0,4.1
18683,-32024,-71384,40.5,4.1
18684,-32383,-70124,104.4,3.1
18685,-33621,-71620,39.5,3.3
18686,-34420,-70079,18.0,2.7
18687,-25493,-70490,41.7,4.0
18688,-24582,-66889,74.7,3.8
18689,-34463,-70392,125.0,2.6
18690,-23584,-68437,17.8,3.9
18691,-24161,-67416,200.0,   
18692,-33537,-70325,15.0,3.3
18693,-18962,-71885,10.0,   
18694,-32021,-69576,137.7,3.4
18695,-33990,-70152,11.3,3.1
18696,-32702,-71726,15.3,3.6
18697,-24079,-67491,200.0,   
18698,-34694,-72366,24.0,3.7
18699,-31754,-70502,116.9,3.0
18700,-24134,-67532,190.0,   
18701,-24194,-67468,200.0,   
18702,-32963,-72060,18.6,3.7
18703,-22251,-69836,110.0,   
18704,-24215,-67524,200.0,   
18705,-32652,-71584,8.1,3.7
18706,-27657,-67050,139.8,   
18707,-29560,-71439,47.0,   
18708,-34532,-70477,121.0,2.8
18709,-33361,-72394,27.0,3.7
18710,-21280,-69254,110.0,   
18711,-27779,-66687,169.7,   
18712,-32200,-71086,77.5,3.7
18713,-33148,-70244,2.7,3.5
18714,-27938,-66734,170.0,   
18715,-34000,-71538,45.7,3.4
18716,-34595,-71035,90.5,2.7
18717,-31683,-69031,146.2,3.1
18718,-22758,-69807,60.0,3.6
18719,-34392,-72191,35.5,3.2
18720,-24345,-67453,170.0,   
18721,-33330,-71187,52.8,2.8
18722,-25301,-70557,51.3,3.9
18723,-27179,-71306,16.4,   
18724,-36083,-72379,41.1,4.2
18725,-31906,-70630,92.4,3.1
18726,-23974,-67151,200.0,3.5
18727,-32518,-69720,117.2,3.1
18728,-27963,-66752,16.2,4.2
18729,-31975,-67227,48.1,   
18730,-35097,-70398,15.0,3.5
18731,-29437,-71560,33.9,   
18732,-32506,-71370,62.7,2.9
18733,-21670,-68712,152.9,3.6
18734,-23780,-67177,200.0,3.9
18735,-31485,-69589,153.5,3.4
18736,-34265,-71168,60.2,3.1
18737,-34396,-70082,3.8,3.5
18738,-33811,-71360,50.9,3.5
18739,-30661,-71160,53.9,   
18740,-34147,-71863,40.7,3.0
18741,-21954,-70042,60.0,   
18742,-28763,-68254,125.0,   
18743,-30883,-71292,50.9,3.6
18744,-34348,-70677,100.4,3.3
18745,-30606,-71204,44.3,3.2
18746,-35723,-71722,64.3,4.0
18747,-31994,-69972,123.6,3.0
18748,-28425,-67565,20.5,   
18749,-30984,-71324,59.0,3.7
18750,-22997,-69061,78.8,   
18751,-36342,-71105,0.1,   
18752,-33127,-71624,25.7,3.0
18753,-30483,-71148,55.3,   
18754,-32467,-71853,13.1,   
18755,-32448,-71866,13.8,3.4
18756,-32451,-71853,25.0,3.5
18757,-32453,-71862,28.8,4.2
18758,-32474,-71824,26.8,3.3
18759,-32417,-71876,23.9,3.5
18760,-32460,-71867,12.9,3.4
18761,-32446,-71870,11.5,   
18762,-28318,-70824,49.8,   
18763,-22147,-68263,121.7,3.7
18764,-34361,-70473,117.7,2.3
18765,-33100,-72126,42.0,3.6
18766,-30190,-71430,37.7,   
18767,-31556,-70616,83.8,2.8
18768,-27736,-71630,27.4,   
18769,-31366,-69691,131.3,3.8
18770,-26924,-71401,30.9,   
18771,-23715,-67510,190.0,   
18772,-28568,-67604,130.0,   
18773,-32159,-71670,32.8,3.3
18774,-22630,-68607,100.5,   
18775,-23476,-69028,71.5,   
18776,-23030,-66376,235.0,   
18777,-31463,-69801,150.0,3.6
18778,-27039,-71352,25.0,   
18779,-37666,-75029,35.0,   
18780,-29813,-71332,23.1,4.0
18781,-24182,-67212,200.0,   
18782,-27626,-70705,35.6,   
18783,-29776,-71612,26.8,   
18784,-32120,-69693,145.0,3.0
18785,-33910,-72604,26.1,3.6
18786,-34540,-70661,110.5,3.2
18787,-35511,-71448,100.8,2.7
18788,-32555,-71822,15.0,3.1
18789,-36031,-71651,91.9,   
18790,-22840,-68443,100.0,3.9
18791,-24100,-67377,220.0,3.5
18792,-30398,-71599,36.9,4.0
18793,-33299,-71953,28.9,4.4
18794,-34083,-71987,39.9,3.5
18795,-34282,-70409,105.5,3.5
18796,-31647,-69514,125.0,3.6
18797,-31310,-71591,29.4,4.0
