id,x,y,z,r
176,-33678,-70986,60.2,3.3
177,-31553,-70100,153.6,3.4
178,-33836,-71226,59.4,3.2
179,-32721,-71752,15.1,4.2
180,-35611,-71828,129.7,3.3
181,-34044,-72048,45.7,3.6
182,-37310,-75447,10.0,4.3
183,-32033,-71526,25.7,4.0
184,-32598,-71769,18.8,4.3
185,-32451,-70368,99.8,2.9
186,-34514,-72074,30.0,3.8
187,-33235,-72236,28.5,4.1
188,-33024,-69598,161.9,2.6
189,-32470,-71798,15.4,3.6
190,-32488,-71828,25.7,3.8
191,-33107,-71268,53.8,4.0
192,-33655,-70530,102.1,4.0
193,-33866,-70182,7.0,3.6
194,-34440,-70596,109.3,2.9
195,-31958,-70742,102.3,4.6
196,-32424,-71622,43.8,4.0
197,-31835,-70725,107.5,3.2
198,-34155,-71201,64.4,3.6
199,-32157,-71212,43.5,4.0
200,-33324,-71150,56.9,3.5
201,-32746,-71324,52.6,3.3
202,-31904,-71563,33.2,3.7
203,-31641,-69801,164.9,3.2
204,-33508,-70872,72.0,4.2
205,-31708,-69752,161.1,3.7
206,-31647,-69977,163.5,3.3
207,-32322,-71097,78.6,3.3
208,-30787,-71658,51.2,4.6
209,-32724,-69553,18.2,4.6
210,-34420,-71253,56.6,3.2
211,-32437,-69139,185.2,3.7
212,-31716,-70528,139.8,2.9
213,-32668,-71803,26.4,4.3
214,-31848,-70196,140.5,3.2
215,-33933,-68573,0.3,4.3
216,-34063,-70381,11.0,3.4
217,-32595,-71830,10.7,3.2
218,-31997,-69925,146.4,4.2
219,-31571,-69573,184.8,4.0
220,-32034,-68497,0.5,4.0
221,-31935,-71635,25.1,4.0
222,-32294,-71882,20.8,3.5
223,-31936,-69593,156.7,3.3
224,-32485,-71808,31.5,4.1
225,-32278,-69421,166.4,2.9
226,-33981,-71206,62.7,2.9
227,-34547,-71107,42.0,3.5
228,-33303,-72040,15.3,4.7
229,-33315,-71913,9.5,3.8
230,-33349,-71878,4.2,3.5
231,-33307,-71970,22.5,4.2
232,-33308,-71968,13.1,3.6
233,-33316,-71964,15.3,3.5
234,-32889,-70400,110.0,3.8
235,-32576,-71543,14.8,3.7
236,-33895,-70584,99.7,2.6
237,-32764,-71868,25.5,4.4
238,-32680,-71885,13.8,5.0
239,-32762,-71828,26.3,4.2
240,-32684,-71756,25.2,3.8
241,-32707,-71791,14.4,3.9
242,-32510,-71743,17.9,3.5
243,-32635,-71794,15.0,3.8
244,-32763,-71794,13.6,3.4
245,-32696,-71752,9.1,3.9
246,-32742,-71838,11.8,3.8
247,-32646,-71751,8.2,3.5
248,-32683,-71770,7.2,3.5
249,-32643,-71878,14.2,4.2
250,-32649,-71875,23.7,4.2
251,-32141,-71835,10.9,3.6
252,-32788,-70107,111.5,2.5
253,-33139,-69012,14.9,3.4
254,-34134,-70067,6.5,3.4
255,-32629,-71809,13.4,3.6
256,-33057,-70262,96.9,2.5
257,-33882,-70591,90.6,2.5
258,-32392,-71469,31.9,3.8
259,-31039,-71822,19.5,3.8
260,-33502,-72315,15.2,3.8
261,-32091,-71589,19.4,3.6
262,-32650,-71775,13.5,3.1
263,-31241,-69360,168.7,3.5
264,-32244,-69955,144.1,3.2
265,-31588,-70119,137.4,3.2
266,-32798,-71806,11.7,3.9
267,-27971,-67746,302.6,4.4
268,-32744,-71845,14.6,4.2
269,-32404,-69918,111.2,3.5
270,-31557,-69312,169.6,3.7
271,-32650,-69246,20.2,3.7
272,-32481,-71696,33.8,3.8
273,-33303,-72356,34.7,4.0
274,-32765,-71766,11.8,3.8
275,-31427,-69943,147.8,3.5
276,-40564,-71571,119.1,4.4
277,-34849,-71179,10.8,3.5
278,-32314,-71840,27.4,3.8
279,-34670,-70756,103.4,2.6
280,-32994,-69740,138.1,2.8
281,-31923,-71303,45.5,3.5
282,-35351,-71457,83.6,3.2
283,-31842,-69117,204.8,3.8
284,-31788,-70457,132.8,4.4
285,-32919,-69131,3.5,3.5
286,-31018,-68126,169.1,4.3
287,-31187,-71606,28.3,4.2
288,-33576,-70266,110.7,3.1
289,-33939,-71490,46.8,3.7
